competition,race_type,sex,host_nation,country,day,month,year,time,latitude,longitude,NOAA_stationid,station_location,station_distance,air_temp,dew_pt,wind_speed,adj_wind_speed,relative_humidity,clouds,diff_req_time,time_zone,solar_rad,heat_index,simp_wetbulb_globetemp,wetbulb_globetemp,world_record,standing_record,first_place,second_place,third_place,,,,,,,,,,,
Common Wealth,10k,Men,Christchurch, New Zealand,25,1,1974,21:00:00,-43.530955,172.636645,93780099999,NZ; CHRISTCHURCH INTERNATIONAL,9.6,16.0,10.0,4.1,1.7,67.6,5,9,13,43,15.4,17.8,13.5,00:27:31,28:11.7,27:46.4,27:48.6,27:57.0,,,,,,,,,,,
Common Wealth,10k,Men,Edmonton, Canada,6,8,1978,21:00:00,53.535411,-113.50799,71879099999,CA; EDMONTON CITY CENTRE,4.2,25.0,11.0,4.1,1.7,41.5,1,0,-6,397,24.6,23.3,20.9,00:27:22,27:46.4,28:13.6,28:19.1,28:34.3,,,,,,,,,,,
Common Wealth,10k,Men,Edinburgh, Scotland,26,7,1986,21:00:00,55.9533456,-3.1883749,3160099999,UK; EDINBURGH,11.5,14.7,9.3,6.7,2.8,70.1,5,0,1,0,14.1,16.9,12.2,00:27:14,27:46.4,27:57.4,27:58.0,28:02.5,,,,,,,,,,,
Common Wealth,10k,Men,Auckland, New Zealand,27,1,1990,21:00:00,-36.852095,174.76318,93119099999,NZ; AUCKLAND INTERNATIONAL,17.5,21.4,16.5,6.2,2.6,73.7,6,60,13,22,21.5,23.5,19,00:27:08,27:46.4,28:08.6,28:11.6,28:12.7,,,,,,,,,,,
Common Wealth,10k,Men,Victoria, Canada,27,8,1994,21:00:00,48.4283182,-123.36495,71473599999,CA; VICTORIA HARBOUR,2.7,24.0,11.0,6.1,2.5,44.1,1,0,-7,447,23.6,22.7,20.2,00:26:52,27:46.4,28:38.2,28:47.7,28:51.7,,,,,,,,,,,
Common Wealth,10k,Men,Manchester, England,26,7,2002,21:00:00,53.4794892,-2.2451148,3334099999,UK; MANCHESTER,14.1,16.8,12.7,2.6,1.1,76.8,6,0,1,0,16.5,19.2,14.7,00:26:23,27:46.4,27:45.4,27:45.5,27:45.8,,,,,,,,,,,
Common Wealth,10k,Men,Melbourne, Australia,25,3,2006,21:00:00,-37.814217,144.96316,94868099999,AS; MELBOURNE REGIONAL OFFICE,0.4,16.7,11.3,0.5,0.2,70.5,5,60,10,0,16.3,18.7,13.7,00:26:18,27:45.4,27:51.0,27:51.2,27:52.0,,,,,,,,,,,
Common Wealth,10k,Men,Delhi, India,11,10,2010,21:00:00,28.6517178,77.2219388,42182099999,IN; SAFDARJUNG,7.6,23.8,20.7,1.0,0.4,82.8,7,0,5.5,0,24.4,27,22,00:26:18,27:45.4,27:57.4,27:57.6,27:58.6,,,,,,,,,,,
Common Wealth,10k,Men,Glasgow, Scotland,1,8,2014,21:00:00,55.8609825,-4.2488787,3140099999,UK; GLASGOW,11.6,13.0,10.0,1.5,0.6,82.0,7,10,1,0,12.5,16.1,11.2,00:26:18,27:45.4,27:56.1,27:56.1,27:56.2,,,,,,,,,,,
Common Wealth,10k,Men,Gold Coast, Australia,13,4,2018,21:10:00,-28.002373,153.414598,94580099999,AS; GOLD COAST SEAWAY,7.9,20.8,20.1,2.6,1.1,95.8,8,70,10,0,21.4,25,20.2,00:26:18,27:45.4,27:19.6,27:20.6,27:28.7,,,,,,,,,,,
